time,speed,direction,TL_300107,TL_300108
2023-01-13 09:30:00,2.5011501284705404,81.68981289221666,201.0,2.16
2023-01-13 10:30:00,3.3184019848541415,76.8170709075404,79.9,0.71999997
2023-01-13 11:30:00,3.646522605740771,80.7118879886048,97.1,0.71999997
2023-01-13 12:30:00,4.118388800453281,89.48029323907815,0.0,1.4399999
2023-01-13 13:30:00,4.45104511400976,94.51046792657404,53.5,4.68
2023-01-13 14:30:00,4.3697605312765235,94.45380911865598,357.9,7.2
2023-01-13 15:30:00,2.9631477874266867,86.25404940054533,358.6,0.0
2023-01-13 16:30:00,2.2284290079726627,75.45453169318402,189.7,0.0
2023-01-13 17:30:00,2.3419015150500537,64.51919874066188,140.7,0.71999997
2023-01-13 18:30:00,2.4827765528865147,46.86960876106185,94.2,1.08
2023-01-13 19:30:00,2.5446157461617487,38.059225321931585,125.4,1.08
2023-01-13 20:30:00,2.4056067467911224,33.56042224361127,128.9,0.0
2023-01-13 21:30:00,2.316857469580658,23.938208425661834,150.4,0.0
2023-01-13 22:30:00,2.2516473693569874,20.164372041984393,190.1,2.16
2023-01-13 23:30:00,2.341636723532221,15.067146065764362,0.1,0.0
2023-01-14 00:30:00,2.732496702758467,15.992238413447733,290.2,2.8799999
2023-01-14 01:30:00,2.973022957391285,20.77280790169465,183.4,0.0
2023-01-14 02:30:00,3.206502353408349,19.682581590391077,218.6,3.2399998
2023-01-14 03:30:00,3.513477079548832,14.629819485576421,105.7,2.52
2023-01-14 04:30:00,3.7647286170166945,13.521461595494864,83.7,2.8799999
2023-01-14 05:30:00,3.777271346849761,18.104560993126178,277.0,0.0
2023-01-14 06:30:00,3.871278796648867,23.067655423903716,49.7,0.35999998
2023-01-14 07:30:00,3.919089884338703,25.44816179449383,57.0,0.71999997
2023-01-14 08:30:00,3.5150360797059674,27.05231554984381,223.3,3.6
2023-01-14 09:30:00,3.1981334766662575,30.03737278744034,70.4,3.96
2023-01-14 10:30:00,4.033343309761869,35.919030370279046,14.8,1.8
2023-01-14 11:30:00,3.9963617468359267,43.92611128190541,12.9,6.4799995
2023-01-14 12:30:00,3.5284001983161986,50.09143297613174,48.1,0.71999997
2023-01-14 13:30:00,2.929158404079275,53.921925829653,9.9,0.35999998
2023-01-14 14:30:00,2.0799069856945733,50.88360303147797,135.6,2.8799999
2023-01-14 15:30:00,1.5481587497503981,30.65548319858624,137.4,0.71999997
2023-01-14 16:30:00,2.227575246763238,13.223131264433185,14.8,0.71999997
2023-01-14 17:30:00,3.042587321609889,12.00196425689336,185.3,1.4399999
2023-01-14 18:30:00,3.5990262931042687,18.922598958370337,179.6,0.71999997
2023-01-14 19:30:00,3.970517428076217,23.64348963117215,227.3,0.0
2023-01-14 20:30:00,4.350681760935359,25.35639183778178,218.8,3.2399998
2023-01-14 21:30:00,4.40764841214266,25.50934142358015,271.6,1.4399999
2023-01-14 22:30:00,4.227697106618204,26.730805258192813,204.2,3.2399998
2023-01-14 23:30:00,4.024057914659425,29.073509065306826,0.1,1.8
2023-01-15 00:30:00,3.88679785352028,31.698214481272462,178.2,0.35999998
2023-01-15 01:30:00,3.6783362315950328,41.471801329525206,156.5,1.8
2023-01-15 02:30:00,3.2961416688935703,58.24783663537014,113.4,1.8
2023-01-15 03:30:00,3.0156865049526456,73.97087982258545,244.8,0.35999998
2023-01-15 04:30:00,3.4533581441635723,92.36657026408223,295.8,3.6
2023-01-15 05:30:00,3.5760416771656143,91.87339297360865,215.9,3.6
2023-01-15 06:30:00,3.255514655933765,91.99893281404862,131.9,2.52
2023-01-15 07:30:00,3.05971296944959,106.6088379680497,358.9,0.0
2023-01-15 08:30:00,4.145642569798145,121.92793107417606,193.4,0.35999998
2023-01-15 09:30:00,4.275752897746318,126.38634664782894,142.2,1.08
2023-01-15 10:30:00,4.241394673014079,123.98652340760306,223.1,2.52
2023-01-15 11:30:00,3.8848216058234963,111.81528734045368,168.4,1.4399999
2023-01-15 12:30:00,4.247491277576344,105.92806558845285,193.1,2.8799999
2023-01-15 13:30:00,5.131856412642526,110.54850142647507,93.6,1.8
2023-01-15 14:30:00,5.505988888296121,112.33780080287146,100.2,0.0
2023-01-15 15:30:00,4.539565562677487,108.55131275999447,186.2,2.16
2023-01-15 16:30:00,2.6338155306428366,93.99352639308015,144.4,1.4399999
2023-01-15 17:30:00,2.375004734147625,81.25237649313891,298.9,0.71999997
2023-01-15 18:30:00,2.643193488366813,72.4432079501312,157.2,0.0
2023-01-15 19:30:00,2.7811709607846904,62.90590446685926,144.1,0.71999997
2023-01-15 20:30:00,2.9041509770973577,52.445788446937655,211.2,0.0
2023-01-15 21:30:00,3.162515310240092,41.88698601213908,307.3,0.0
2023-01-15 22:30:00,3.59365319548645,31.09559057880422,213.5,0.0
2023-01-15 23:30:00,4.321919803558618,25.506133869239225,40.3,1.4399999
